Joint_One Joint_Two Joint_Three Joint_Four Joint_Five Joint_Six
 39.4666 -47.1359 -12.2229 -625.084 -17.438 628.882  
 39.0806 -46.5723 -11.0721 -630.77 -17.045 634.624  
 38.6096 -46.0772 -9.85599 -636.734 -16.7626 640.589  
 38.0539 -45.6529 -8.58388 -642.893 -16.6029 646.687  
 37.4142 -45.3018 -7.2654 -649.142 -16.5709 652.809  
 36.6913 -45.0265 -5.91033 -655.368 -16.6647 658.841  
 35.8866 -44.8297 -4.52849 -661.468 -16.8746 664.675  
 35.002 -44.7144 -3.12979 -667.356 -17.1847 670.221  
 34.04 -44.6837 -1.7241 -672.97 -17.5739 675.418  
 33.0041 -44.7407 -0.321299 -678.277 -18.0182 680.231  
 31.8986 -44.8884 1.0688 -683.265 -18.4918 684.651  
 30.7287 -45.1298 2.43645 -687.942 -18.9688 688.689  
 29.501 -45.4676 3.77197 -692.331 -19.4239 692.371  
 28.2231 -45.9039 5.06579 -696.459 -19.833 695.733  
 26.9036 -46.4405 6.30851 -700.362 -20.1745 698.817  
 25.5526 -47.078 7.49089 -704.076 -20.4289 701.668  
 24.1982 -47.8314 8.63599 -707.618 -20.5669 704.318  
 22.8159 -48.6519 9.64571 -710.944 -20.6434 706.755  
 21.4388 -49.5847 10.5968 -714.316 -20.5533 709.228  
 20.0823 -50.6234 11.4805 -717.668 -20.2985 711.66  
 18.7595 -51.7212 12.2107 -720.883 -19.9679 714.027  
 17.472 -52.9233 12.8826 -724.272 -19.4311 716.549  
 16.2366 -54.1695 13.376 -727.863 -18.7876 719.341  
 15.0885 -55.4839 13.7925 -731.41 -18.0318 722.178  
 14.0226 -56.8436 14.0842 -735.191 -17.1555 725.313  
 13.0522 -58.2346 14.2499 -739.263 -16.1799 728.822  
 12.1885 -59.6421 14.2886 -743.724 -15.1257 732.808  
 11.4404 -61.051 14.1997 -748.701 -14.0167 737.404  
 10.8158 -62.4458 13.9836 -754.362 -12.8817 742.777  
 10.3452 -63.8154 13.6679 -760.414 -11.7558 748.69  
 9.99107 -65.1382 13.2114 -767.92 -10.6695 756.109  
 9.77563 -66.4026 12.6378 -776.793 -9.68205 764.986  
 9.70178 -67.5955 11.9526 -787.233 -8.85379 775.515  
 9.63013 -68.7307 11.2005 -799.352 -8.36647 787.732  
 9.42223 -69.8255 10.4285 -812.135 -8.3921 800.553  
 9.08774 -70.8761 9.64884 -823.85 -8.88343 812.246  
 8.58653 -71.8584 8.82 -833.662 -9.9137 821.923  
 7.95464 -72.7786 7.99384 -840.87 -11.2259 828.971  
 7.17494 -73.6206 7.14711 -845.966 -12.7995 833.842  
 6.31976 -74.4132 6.37028 -849.487 -14.2756 837.162  
 5.29417 -75.0996 5.54675 -851.748 -16.0158 839.137  
 4.15365 -75.725 4.75906 -853.329 -17.801 840.338  
 2.91562 -76.2076 3.94339 -853.942 -19.5595 840.593  
 1.59838 -76.6381 3.21607 -854.231 -21.2219 840.508  
 0.17072 -76.9819 2.51444 -854.095 -22.9665 839.911  
 -1.31843 -77.207 1.83735 -853.682 -24.6177 839.04  
 -2.87085 -77.3306 1.20205 -853.03 -26.2289 837.91  
 -4.47245 -77.3493 0.604198 -852.215 -27.803 836.57  
 -6.10134 -77.2707 0.0634294 -851.269 -29.2948 835.075  
 -7.74509 -77.0947 -0.418839 -850.212 -30.7068 833.445  
 -9.38967 -76.8214 -0.844627 -849.074 -32.0426 831.7  
 -11.0181 -76.456 -1.20726 -847.874 -33.2866 829.862  
 -12.6159 -76.003 -1.50289 -846.624 -34.4315 827.944  
 -14.17 -75.4663 -1.73117 -845.334 -35.4764 825.956  
 -15.6675 -74.8516 -1.89002 -844.013 -36.4159 823.906  
 -17.0971 -74.1652 -1.9775 -842.663 -37.246 821.801  
 -18.449 -73.4132 -1.99332 -841.287 -37.9657 819.644  
 -19.7147 -72.6019 -1.93751 -839.885 -38.5746 817.439  
 -20.8869 -71.7382 -1.81027 -838.454 -39.0732 815.187  
 -21.9598 -70.8285 -1.61262 -836.99 -39.4635 812.888  
 -22.9286 -69.8795 -1.34617 -835.487 -39.7487 810.544  
 -23.7897 -68.8976 -1.01295 -833.94 -39.9331 808.154  
 -24.5401 -67.889 -0.615497 -832.341 -40.022 805.717  
 -25.1776 -66.86 -0.156877 -830.682 -40.0216 803.232  
 -25.7009 -65.8164 0.35942 -828.955 -39.9391 800.7  
 -26.1086 -64.7641 0.929502 -827.15 -39.7824 798.119  
 -26.4001 -63.7087 1.54908 -825.261 -39.5599 795.49  
 -26.575 -62.6559 2.21353 -823.28 -39.2807 792.813  
 -26.6329 -61.6111 2.91792 -821.198 -38.9541 790.09  
 -26.691 -60.5131 3.55291 -819.094 -38.6952 787.351  
 -26.8661 -59.3067 4.00957 -817.093 -38.6074 784.674  
 -27.1563 -58.0069 4.28011 -815.271 -38.6813 782.131  
 -27.5567 -56.6311 4.3636 -813.673 -38.8958 779.768  
 -28.0613 -55.1975 4.26423 -812.319 -39.2275 777.619  
 -28.6639 -53.7218 3.98062 -811.239 -39.6601 775.722  
 -29.3563 -52.2206 3.51412 -810.451 -40.1746 774.1  
 -30.1293 -50.7104 2.86997 -809.954 -40.752 772.764  
 -30.9731 -49.2061 2.05341 -809.742 -41.3777 771.722  
 -31.877 -47.7212 1.07021 -809.805 -42.0402 770.974  
 -32.8301 -46.268 -0.0719457 -810.126 -42.7306 770.516  
 -33.8212 -44.8569 -1.36455 -810.683 -43.4437 770.337  
 -34.8392 -43.4966 -2.79878 -811.453 -44.1771 770.425  
 -35.8732 -42.1943 -4.36502 -812.411 -44.9307 770.767  
 -36.9128 -40.9554 -6.05312 -813.53 -45.706 771.344  
 -37.9483 -39.7839 -7.85272 -814.784 -46.5059 772.138  
 -38.9707 -38.6826 -9.75322 -816.146 -47.3338 773.129  
 -39.9716 -37.6532 -11.7437 -817.589 -48.193 774.297  
 -40.9439 -36.6965 -13.8132 -819.091 -49.0863 775.621  
 -41.8811 -35.8126 -15.9505 -820.626 -50.0159 777.08  
 -42.7777 -35.0013 -18.1443 -822.175 -50.9826 778.655  
 -43.629 -34.2621 -20.3828 -823.717 -51.986 780.327  
 -44.4312 -33.5944 -22.6541 -825.237 -53.0244 782.076  
 -45.181 -32.9978 -24.9458 -826.719 -54.0948 783.887  
 -45.876 -32.4722 -27.2449 -828.153 -55.1926 785.743  
 -46.5141 -32.0177 -29.5377 -829.527 -56.3123 787.63  
 -47.0939 -31.6353 -31.8095 -830.835 -57.4471 789.535  
 -47.6142 -31.3264 -34.0448 -832.07 -58.5891 791.446  
 -48.0743 -31.0935 -36.2265 -833.23 -59.7297 793.351  
 -48.4736 -30.9397 -38.3361 -834.311 -60.8591 795.239  
 -48.8118 -30.8694 -40.3537 -835.313 -61.967 797.099  
 -49.0886 -30.8879 -42.2575 -836.236 -63.0422 798.92  
 -49.304 -31.0015 -44.0241 -837.082 -64.0731 800.692  
 -49.4578 -31.2172 -45.6287 -837.851 -65.0475 802.403  
 -49.5501 -31.5429 -47.0457 -838.548 -65.953 804.042  
 -49.5808 -31.9862 -48.2493 -839.175 -66.7769 805.6
